7 years GDP,ProvinceEN,population,Area (km2)[2]
120766,Amnat Charoen,376195,3290
192047,Ang Thong,276584,950
166014,Bueng Kan,422042,4003
575155,Buri Ram,1581184,10080
2418183,Chachoengsao,720718,5169
224384,Chai Nat,322477,2506
425415,Chaiyaphum,1124924,12698
795419,Chanthaburi,535559,6415
1559762,Chiang Mai,1784370,22135
696019,Chiang Rai,1295026,11503
6134581,Chon Buri,1566885,4508
584054,Chumphon,509208,5998
379580,Kalasin,977175,6936
791013,Kamphaeng Phet,714118,8512
669484,Kanchanaburi,891976,19385
1389261,Khon Kaen,1794531,10659
562921,Krabi,477770,5323
33600403,Krung Thep Maha Nakhon,5588222,1564
476335,Lampang,728964,12488
519057,Lamphun,402011,4478
336187,Loei,638736,10500
721081,Lop Buri,742928,6493
87685,Mae Hong Son,284549,12765
379482,Maha Sarakham,953660,5607
168995,Mukdahan,350911,4126
183645,Nakhon Nayok,260081,2141
2184961,Nakhon Pathom,920729,2142
291193,Nakhon Phanom,717201,5637
1887500,Nakhon Ratchasima,2633207,20736
780078,Nakhon Sawan,1040308,9526
1084623,Nakhon Si Thammarat,1550721,9885
212022,Nan,476727,12130
286964,Narathiwat,804429,4491
185571,Nong Bua Lam Phu,509470,4099
267095,Nong Khai,517435,3275
2026082,Nonthaburi,1276745,637
2550585,Pathum Thani,1176412,1520
345337,Pattani,726015,1977
449246,Phangnga,268229,5495
246030,Phatthalung,523077,3861
236915,Phayao,467356,6189
547734,Phetchabun,981940,12340
461142,Phetchaburi,482193,6172
339616,Phichit,532310,4319
645483,Phitsanulok,849481,10589
2814506,Phra Nakhon Si Ayutthaya,819088,2548
197207,Phrae,437350,6483
1346883,Phuket,414471,547
1832754,Prachin Buri,493670,5026
600270,Prachuap Khiri Khan,550678,6414
178962,Ranong,194372,3230
1212529,Ratchaburi,869313,5189
6430996,Rayong,741524,3666
499147,Roi Et,1298640,7873
290585,Sa Kaeo,560925,6831
384298,Sakon Nakhon,1146936,9580
5006118,Samut Prakan,1351479,947
2554367,Samut Sakhon,586199,866
151902,Samut Songkhram,192052,414
1614293,Saraburi,643828,3499
221302,Satun,324098,3019
476367,Si Sa Ket,1458580,8936
185173,Sing Buri,205898,817
1674181,Songkhla,1428609,7741
338917,Sukhothai,587883,6671
598232,Suphan Buri,838628,5410
1347434,Surat Thani,1067726,13079
510885,Surin,1378221,8854
357641,Tak,670265,17303
458700,Trang,640574,4726
276354,Trat,228536,2866
805785,Ubon Ratchathani,1866697,15626
739113,Udon Thani,1567983,11072
199592,Uthai Thani,325868,6647
259821,Uttaradit,448745,7906
298126,Yala,538602,4476
187193,Yasothon,534500,4131
